Tiempo(s),Temperatura(C)
0.77,20.25
1.72,20.31
2.49,20.31
3.28,20.25
4.06,20.25
4.84,20.25
5.62,20.31
6.40,20.25
7.18,20.25
7.96,20.31
8.78,20.25
9.59,20.25
10.40,20.25
11.21,20.25
12.02,20.25
12.83,20.25
13.64,20.25
14.45,20.25
15.26,20.25
16.07,20.25
16.88,20.25
17.69,20.25
18.50,20.31
19.31,20.25
20.12,20.25
20.93,20.25
21.74,20.25
22.55,20.19
23.36,20.25
24.17,20.19
24.98,20.25
25.79,20.19
26.60,20.25
27.41,20.19
28.22,20.19
29.03,20.19
29.84,20.19
30.65,20.19
31.46,20.25
32.27,20.19
33.08,20.25
33.89,20.25
34.70,20.19
35.51,20.19
36.32,20.25
37.13,20.25
37.94,20.19
38.75,20.25
39.57,20.25
40.38,20.19
41.20,20.25
42.02,20.25
42.84,20.25
43.66,20.25
44.69,20.25
45.50,20.31
46.31,20.31
47.12,20.31
47.93,20.31
48.74,20.31
49.55,20.38
50.36,20.38
51.17,20.44
51.98,20.44
52.79,20.44
53.60,20.44
54.41,20.50
55.22,20.50
56.03,20.50
56.84,20.56
57.65,20.56
58.46,20.63
59.27,20.63
60.08,20.63
60.89,20.63
61.70,20.69
62.51,20.75
63.32,20.75
64.14,20.75
64.96,20.81
65.78,20.81
66.60,20.81
67.42,20.88
68.24,20.88
69.06,20.94
69.88,21.00
70.70,21.00
71.52,21.06
72.34,21.06
73.16,21.06
73.98,21.19
74.80,21.19
75.62,21.25
76.44,21.31
77.26,21.31
78.08,21.44
78.90,21.50
79.72,21.50
80.54,21.63
81.36,21.69
82.18,21.75
83.00,21.81
83.82,21.88
84.64,21.94
85.46,22.00
86.28,22.06
87.10,22.13
87.92,22.19
88.74,22.25
89.56,22.31
90.38,22.44
91.20,22.50
92.02,22.56
92.83,22.63
93.64,22.69
94.45,22.81
95.49,22.88
96.30,23.00
97.11,23.06
97.92,23.19
98.73,23.25
99.54,23.31
100.35,23.44
101.16,23.50
101.97,23.56
102.78,23.63
103.59,23.69
104.40,23.75
105.22,23.88
106.04,23.94
106.85,24.06
107.66,24.19
108.47,24.19
109.29,24.38
110.11,24.44
110.93,24.50
111.75,24.63
112.57,24.69
113.39,24.81
114.21,24.88
115.03,24.94
115.85,25.06
116.67,25.13
117.49,25.25
118.31,25.38
119.13,25.50
119.95,25.63
120.77,25.69
121.59,25.81
122.41,25.88
123.23,26.00
124.05,26.13
124.87,26.19
125.69,26.31
126.51,26.44
127.33,26.56
128.15,26.69
128.97,26.75
129.79,26.88
130.61,27.06
131.43,27.13
132.25,27.25
133.08,27.38
133.90,27.44
134.72,27.56
135.54,27.69
136.36,27.81
137.18,27.88
138.00,28.00
138.82,28.13
139.64,28.19
140.46,28.31
141.29,28.38
142.11,28.50
142.94,28.63
143.76,28.75
144.59,28.94
145.42,29.00
146.48,29.19
147.30,29.25
148.12,29.38
148.94,29.50
149.76,29.63
150.58,29.75
151.40,29.81
152.22,29.94
153.04,30.06
153.86,30.19
154.68,30.25
155.50,30.31
156.32,30.44
157.14,30.50
157.96,30.56
158.78,30.69
159.60,30.81
160.42,30.88
161.24,30.94
162.06,31.06
162.88,31.13
163.70,31.25
164.52,31.38
165.34,31.44
166.17,31.50
167.00,31.63
167.83,31.75
168.66,31.88
169.49,32.00
170.32,32.13
171.15,32.19
171.98,32.31
172.81,32.44
173.64,32.50
174.47,32.63
175.30,32.69
176.13,32.75
176.96,32.88
177.79,32.94
178.62,33.06
179.45,33.13
180.28,33.25
181.11,33.31
181.94,33.44
182.77,33.50
183.60,33.69
184.43,33.75
185.26,33.88
186.09,33.94
186.92,34.06
187.75,34.19
188.58,34.31
189.41,34.38
190.24,34.50
191.07,34.56
191.90,34.63
192.73,34.75
193.56,34.94
194.39,35.00
195.22,35.06
196.05,35.13
196.88,35.19
197.95,35.31
198.77,35.38
199.60,35.50
200.44,35.63
201.27,35.69
202.10,35.75
202.94,35.88
203.77,35.94
204.62,36.06
205.46,36.19
206.30,36.25
207.13,36.31
207.98,36.38
208.82,36.50
209.66,36.63
210.50,36.69
211.34,36.75
212.18,36.81
213.02,36.88
213.86,37.00
214.70,37.13
215.54,37.19
216.38,37.25
217.23,37.31
218.07,37.38
218.91,37.31
219.75,37.56
220.59,37.63
221.43,37.69
222.27,37.88
223.11,38.00
223.95,38.25
224.79,38.38
225.63,38.63
226.47,38.75
227.31,38.88
228.15,39.00
228.99,39.13
229.83,39.25
230.67,39.38
231.51,39.56
232.35,39.75
233.19,39.81
234.03,39.94
234.87,40.06
235.71,40.13
236.55,40.25
237.39,40.38
238.23,40.50
239.07,40.56
239.91,40.63
240.75,40.75
241.59,40.88
242.43,40.94
243.27,41.00
244.11,41.06
244.96,41.13
245.80,41.19
246.65,41.31
247.49,41.38
248.34,41.44
249.19,41.50
250.27,41.56
251.11,41.63
251.95,41.69
252.79,41.81
253.63,41.88
254.47,41.94
255.31,42.06
256.15,42.13
256.99,42.19
257.83,42.25
258.67,42.31
259.51,42.38
260.35,42.44
261.19,42.50
262.03,42.50
262.87,42.56
263.71,42.63
264.55,42.69
265.39,42.75
266.23,42.75
267.07,42.81
267.91,42.88
268.78,42.88
269.59,42.94
270.40,43.06
271.21,43.06
272.02,43.13
272.83,43.19
273.64,43.19
274.45,43.31
275.26,43.38
276.07,43.38
276.88,43.38
277.69,43.44
278.50,43.56
279.31,43.63
280.12,43.69
280.93,43.69
281.74,43.75
282.55,43.81
283.36,43.88
284.17,43.94
284.98,43.94
285.79,43.94
286.60,44.00
287.41,44.06
288.22,44.06
289.03,44.13
289.84,44.13
290.65,44.25
291.46,44.25
292.27,44.31
293.08,44.31
293.89,44.38
294.70,44.44
295.51,44.50
296.32,44.50
297.13,44.56
297.94,44.56
298.75,44.63
299.56,44.69
300.37,44.69
301.41,44.75
302.22,44.81
303.03,44.88
303.84,44.88
304.65,44.94
305.46,44.94
306.27,44.94
307.08,45.06
307.89,45.00
308.70,45.13
309.51,45.13
310.32,45.19
311.13,45.25
311.94,45.25
312.75,45.25
313.56,45.38
314.37,45.38
315.18,45.38
315.99,45.44
316.80,45.44
317.61,45.50
318.42,45.56
319.23,45.56
320.04,45.63
320.85,45.63
321.66,45.69
322.47,45.69
323.28,45.75
324.10,45.75
324.91,45.81
325.73,45.81
326.55,45.88
327.37,45.94
328.19,45.94
329.01,45.94
329.83,46.00
330.65,46.00
331.47,46.06
332.29,46.06
333.11,46.13
333.93,46.13
334.75,46.19
335.57,46.25
336.39,46.25
337.21,46.31
338.03,46.31
338.85,46.38
339.67,46.38
340.49,46.44
341.31,46.50
342.13,46.50
342.95,46.56
343.77,46.50
344.59,46.56
345.41,46.63
346.23,46.63
347.05,46.69
347.87,46.69
348.69,46.69
349.51,46.75
350.33,46.81
351.15,46.81
352.21,46.81
353.02,46.88
353.84,46.88
354.66,46.88
355.48,46.94
356.30,47.00
357.13,47.00
357.95,47.06
358.77,47.06
359.59,47.13
360.40,47.13
361.23,47.13
362.05,47.19
362.87,47.19
363.69,47.25
364.50,47.25
365.33,47.31
366.15,47.31
366.97,47.38
367.79,47.38
368.61,47.44
369.43,47.44
370.25,47.44
371.07,47.50
371.89,47.50
372.71,47.50
373.53,47.56
374.35,47.56
375.17,47.56
375.99,47.63
376.81,47.63
377.63,47.69
378.45,47.69
379.27,47.69
380.09,47.69
380.91,47.75
381.73,47.75
382.55,47.81
383.37,47.81
384.19,47.88
385.01,47.88
385.83,47.88
386.65,47.94
387.47,47.94
388.29,48.00
389.11,48.00
389.93,48.00
390.75,48.06
391.57,48.06
392.39,48.06
393.21,48.06
394.03,48.13
394.85,48.13
395.67,48.13
396.49,48.19
397.31,48.19
398.13,48.19
398.95,48.25
399.77,48.25
400.59,48.31
401.42,48.31
402.24,48.38
403.30,48.38
404.12,48.38
404.94,48.38
